"comprimento_asa","peso","local"
22.35,177.36,"suecia"
24.1,180.94,"suecia"
19.01,180.83,"suecia"
18.94,177.54,"suecia"
25.24,182.19,"suecia"
21.41,180.72,"suecia"
18.16,180.46,"suecia"
24.83,177.04,"suecia"
22.14,179.87,"suecia"
24.32,178.91,"suecia"
17.97,177.03,"suecia"
20.93,176.59,"suecia"
17.23,176.91,"suecia"
17.57,175.27,"suecia"
23.72,183.84,"suecia"
25.48,184.18,"suecia"
21.48,187.08,"suecia"
26.73,180.33,"suecia"
22.69,181.43,"suecia"
25.14,183.04,"suecia"
